#K-Path(1/A) Energy-Level(eV)
# NKPTS & NBANDS: 200  60
# Band-Index    1
   0.00000    -46.043288
   0.04000    -46.043282
   0.08000    -46.043299
   0.12000    -46.043302
   0.16000    -46.043303
   0.20001    -46.043293
   0.24001    -46.043300
   0.28001    -46.043291
   0.32001    -46.043278
   0.36001    -46.043279
   0.40001    -46.043277
   0.44001    -46.043278
   0.48001    -46.043280
   0.52001    -46.043295
   0.56001    -46.043301
   0.60002    -46.043310
   0.64002    -46.043301
   0.68002    -46.043284
   0.72002    -46.043298
   0.76002    -46.043270
   0.76002    -46.043270
   0.80026    -46.043264
   0.84049    -46.043257
   0.88073    -46.043220
   0.92096    -46.043182
   0.96120    -46.043144
   1.00143    -46.043117
   1.04167    -46.043073
   1.08191    -46.043034
   1.12214    -46.042977
   1.16238    -46.042918
   1.20261    -46.042850
   1.24285    -46.042786
   1.28309    -46.042738
   1.32332    -46.042666
   1.36356    -46.042612
   1.40379    -46.042585
   1.44403    -46.042550
   1.48427    -46.042553
   1.52450    -46.042548
   1.52450    -46.042549
   1.56450    -46.042551
   1.60450    -46.042563
   1.64450    -46.042567
   1.68451    -46.042601
   1.72451    -46.042604
   1.76451    -46.042625
   1.80451    -46.042663
   1.84451    -46.042714
   1.88451    -46.042738
   1.92451    -46.042719
   1.96451    -46.042770
   2.00451    -46.042784
   2.04451    -46.042803
   2.08452    -46.042826
   2.12452    -46.042831
   2.16452    -46.042845
   2.20452    -46.042867
   2.24452    -46.042870
   2.28452    -46.042871
   2.28452    -46.042871
   2.32476    -46.042884
   2.36499    -46.042898
   2.40523    -46.042902
   2.44546    -46.042929
   2.48570    -46.042970
   2.52594    -46.042972
   2.56617    -46.043002
   2.60641    -46.043051
   2.64664    -46.043050
   2.68688    -46.043102
   2.72712    -46.043135
   2.76735    -46.043169
   2.80759    -46.043199
   2.84782    -46.043225
   2.88806    -46.043270
   2.92829    -46.043296
   2.96853    -46.043281
   3.00877    -46.043289
   3.04900    -46.043287
   3.04900    -46.043287
   3.10447    -46.043297
   3.15993    -46.043280
   3.21539    -46.043261
   3.27085    -46.043243
   3.32632    -46.043224
   3.38178    -46.043146
   3.43724    -46.043086
   3.49271    -46.043001
   3.54817    -46.042938
   3.60363    -46.042873
   3.65910    -46.042791
   3.71456    -46.042701
   3.77002    -46.042637
   3.82548    -46.042572
   3.88095    -46.042505
   3.93641    -46.042441
   3.99187    -46.042425
   4.04734    -46.042399
   4.10280    -46.042430
   4.10280    -46.042429
   4.14280    -46.042425
   4.18280    -46.042391
   4.22280    -46.042372
   4.26280    -46.042340
   4.30280    -46.042307
   4.34281    -46.042289
   4.38281    -46.042289
   4.42281    -46.042258
   4.46281    -46.042226
   4.50281    -46.042213
   4.54281    -46.042189
   4.58281    -46.042149
   4.62281    -46.042119
   4.66281    -46.042102
   4.70281    -46.042076
   4.74282    -46.042053
   4.78282    -46.042023
   4.82282    -46.042007
   4.86282    -46.041976
   4.86282    -46.041977
   4.91828    -46.042030
   4.97374    -46.042070
   5.02921    -46.042155
   5.08467    -46.042230
   5.14013    -46.042315
   5.19560    -46.042402
   5.25106    -46.042506
